angular.js (1970-01-01 - 2018-01-01),atom (2011-08-18 - 2018-01-01),bootstrap (2011-04-27 - 2018-01-01),cassandra (2009-03-02 - 2018-01-01),clojurescript (2011-06-02 - 2018-01-01),electron (2013-03-13 - 2018-01-01),freebsd (1993-06-12 - 2018-01-01),git (2005-04-07 - 2018-01-01),go (1972-07-18 - 2018-01-01),jquery (2006-03-22 - 2018-01-01),Leaflet (2010-09-01 - 2018-01-01),linux (2005-04-16 - 2018-01-01),llvm (2001-06-06 - 2018-01-01),node (2009-02-16 - 2018-01-01),opencv (2010-05-11 - 2018-01-01),rails (2004-11-24 - 2018-01-01),react (2013-05-29 - 2018-01-01),react-native (2015-01-29 - 2018-01-01),swift (2010-07-17 - 2018-01-01),tensorflow (2015-11-06 - 2018-01-01),vscode (2015-11-13 - 2018-01-01),
0,2,2,3,18,2,9,25,1,1,2,289,2,1,11,1,19,69,1,10,54,
0,2,0,1,19,2,9,23,0,2,0,242,3,1,9,1,17,101,1,51,26,
0,2,2,1,9,2,8,20,0,4,1,430,3,1,13,2,19,61,1,71,28,
0,4,13,1,12,2,8,24,0,4,1,260,3,2,9,2,18,76,1,84,29,
0,4,15,2,6,3,12,39,0,2,2,446,3,3,13,3,24,77,1,87,37,
0,7,11,3,5,6,11,39,0,6,2,264,3,1,14,2,31,63,0,86,34,
0,4,17,3,5,3,11,31,0,6,3,502,3,5,16,4,30,107,1,88,30,
0,3,12,3,8,4,15,49,0,6,3,307,2,9,12,6,33,144,1,100,44,
0,5,34,4,8,6,13,29,0,5,6,487,3,6,12,4,53,130,1,106,38,
0,4,45,5,7,4,10,30,0,5,11,423,3,16,13,4,34,125,1,125,47,
0,4,23,5,9,3,15,36,0,4,11,270,2,17,15,11,40,134,1,122,44,
0,5,15,4,10,1,15,35,0,3,9,563,4,20,21,11,32,141,1,136,45,
0,5,10,6,7,1,8,31,0,4,6,325,2,25,19,9,36,145,6,146,51,
0,9,16,4,9,18,8,46,0,5,4,270,5,18,26,9,33,162,4,117,45,
0,6,14,4,7,9,22,41,0,4,3,613,4,27,18,10,38,153,3,142,52,
0,6,25,5,9,14,21,41,0,5,4,284,6,21,15,11,26,147,3,161,59,
0,11,20,5,11,12,26,29,0,3,6,257,7,21,17,11,34,141,2,192,55,
0,16,16,4,6,11,26,31,0,4,15,673,6,29,14,8,29,135,3,177,59,
0,19,13,5,7,7,23,39,1,3,10,364,4,21,12,7,36,134,2,159,65,
0,14,20,4,5,13,27,32,0,2,9,536,2,23,13,6,109,106,4,182,63,
0,11,21,4,9,11,29,31,0,5,10,299,3,23,17,10,51,138,7,146,56,
0,5,20,5,7,8,29,50,0,5,11,528,3,27,17,11,36,116,7,163,66,
0,12,16,5,2,13,28,55,0,3,17,434,3,15,18,10,45,101,6,167,63,
0,14,22,6,5,16,22,47,0,2,8,301,11,22,17,12,42,194,6,177,73,
0,14,22,6,4,21,29,51,0,4,9,705,8,16,15,8,42,124,7,191,75,
0,10,29,6,5,34,26,66,0,6,15,375,8,21,14,9,41,111,5,,,
0,12,37,7,4,36,32,60,0,5,20,478,7,18,28,9,53,115,5,,,
0,14,108,6,7,26,31,65,0,2,17,632,7,19,33,9,40,113,7,,,
0,9,49,4,10,29,28,59,0,3,20,316,7,29,27,5,36,111,7,,,
0,9,30,6,10,39,23,61,0,0,21,555,5,34,30,10,32,122,6,,,
0,15,42,6,4,43,35,79,0,1,19,593,6,26,19,7,43,107,6,,,
0,10,36,6,6,60,32,69,0,5,18,327,6,23,27,5,36,90,6,,,
0,54,33,6,12,49,31,53,0,3,22,285,6,26,28,5,36,70,7,,,
0,40,28,6,5,39,35,61,0,4,18,929,5,25,36,6,57,,7,,,
0,21,25,9,4,53,29,75,0,3,22,491,7,33,33,8,36,,10,,,
0,22,27,10,7,53,32,61,0,3,20,434,8,31,26,7,38,,15,,,
